sep=,
TIME,CH0,
00:24:20,1.736555,
00:24:21,1.734585,
00:24:21,1.736555,
00:24:22,1.736555,
00:24:22,1.736555,
00:24:22,1.736555,
00:24:22,1.735570,
00:24:23,1.737540,
00:24:23,1.737540,
00:24:24,1.734585,
00:24:24,1.736555,
00:24:25,1.735570,
00:24:25,1.734585,
00:24:25,1.736555,
00:24:26,1.736555,
00:24:26,1.735570,
00:24:26,1.735570,
00:24:26,1.732615,
00:24:27,1.732615,
00:24:27,1.736555,
00:24:27,1.736555,
00:24:27,1.734585,
00:24:27,1.735570,
00:24:28,1.736555,
00:24:28,1.735570,
00:24:29,1.738525,
00:24:29,1.738525,
00:24:29,1.738525,
00:24:30,1.739510,
00:24:30,1.740495,
00:24:30,1.740495,
00:24:31,1.740495,
00:24:31,1.737540,
00:24:31,1.738525,
00:24:32,1.739510,
00:24:32,1.738525,
00:24:33,1.737540,
00:24:33,1.735570,
00:24:33,1.738525,
00:24:34,1.738525,
00:24:34,1.737540,
00:24:34,1.738525,
00:24:35,1.739510,
00:24:35,1.738525,
00:24:35,1.738525,
00:24:36,1.737540,
00:24:36,1.739510,
00:24:36,1.739510,
00:24:36,1.738525,
00:24:36,1.738525,
00:24:37,1.739510,
00:24:37,1.739510,
00:24:37,1.740495,
00:24:37,1.739510,
00:24:38,1.737540,
00:24:38,1.739510,
00:24:39,1.739510,
00:24:39,1.739510,
00:24:40,1.738525,
00:24:40,1.738525,
00:24:40,1.738525,
00:24:40,1.740495,
00:24:40,1.740495,
00:24:41,1.739510,
00:24:41,1.737540,
00:24:42,1.739510,
00:24:42,1.739510,
00:24:43,1.738525,
00:24:43,1.740495,
00:24:43,1.738525,
00:24:44,1.739510,
00:24:45,1.739510,
00:24:45,1.740495,
00:24:46,1.741480,
00:24:46,1.740495,
00:24:46,1.741480,
00:24:47,1.741480,
00:24:47,1.741480,
00:24:47,1.739510,
00:24:48,1.740495,
00:24:48,1.740495,
00:24:48,1.740495,
00:24:48,1.741480,
00:24:49,1.742465,
00:24:49,1.741480,
00:24:49,1.742465,
00:24:49,1.742465,
00:24:50,1.743450,
00:24:50,1.744435,
00:24:51,1.744435,
00:24:51,1.744435,
00:24:51,1.742465,
00:24:52,1.740495,
00:24:52,1.740495,
00:24:52,1.740495,
00:24:52,1.737540,
00:24:53,1.738525,
00:24:53,1.738525,
00:24:53,1.737540,
00:24:54,1.737540,
00:24:54,1.736555,
00:24:54,1.736555,
00:24:55,1.736555,
00:24:55,1.738525,
00:24:55,1.738525,
00:24:56,1.739510,
00:24:56,1.739510,
00:24:56,1.737540,
00:24:57,1.738525,
00:24:57,1.737540,
00:24:58,1.738525,
00:24:58,1.737540,
00:24:58,1.738525,
00:24:59,1.738525,
00:24:59,1.740495,
00:24:59,1.739510,
00:25:00,1.740495,
00:25:00,1.740495,
00:25:00,1.739510,
00:25:01,1.738525,
00:25:01,1.739510,
00:25:01,1.740495,
00:25:02,1.737540,
00:25:02,1.738525,
00:25:02,1.739510,
00:25:03,1.739510,
00:25:03,1.738525,
00:25:03,1.738525,
00:25:04,1.740495,
00:25:04,1.740495,
00:25:04,1.739510,
00:25:05,1.738525,
00:25:05,1.751330,
00:25:05,1.736555,
00:25:06,1.737540,
00:25:06,1.738525,
00:25:06,1.736555,
00:25:07,1.740495,
00:25:07,1.735570,
00:25:07,1.737540,
00:25:08,1.736555,
00:25:08,1.737540,
00:25:09,1.738525,
00:25:09,1.738525,
00:25:09,1.739510,
00:25:09,1.741480,
00:25:10,1.740495,
00:25:10,1.739510,
00:25:11,1.741480,
00:25:11,1.741480,
00:25:11,1.743450,
00:25:12,1.741480,
00:25:12,1.743450,
00:25:12,1.742465,
00:25:13,1.742465,
00:25:13,1.742465,
00:25:13,1.745420,
00:25:14,1.743450,
00:25:14,1.743450,
